,Question
658,x1 birds and <x3> storks were sitting on the fence. 2 more storks came to join them. how many storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more storks came to join them. how many storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more storks came to join them. how many storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more storks came to join them. how many storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more storks came to join them. how many storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more storks came to join them. how many storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more storks came to join them. how many storks are sitting on the fencex1 birds and <<3>> storks were sitting on the fence. 2 more storks came to join them. how many storks are sitting on the fencex2?
659,Allan brought x1 balloons and Jake brought x2 balloons to the park. Jake then bought x3 more balloons at the park. how many more balloons did allan have than jake in the park?
660,Faye was placing her pencils and crayons into x1 rows with x2 pencils and x3 crayons in each row. how many pencils does she have?
661,The Razorback t-shirt shop sells each t-shirt for $ x1 dollars. During the Arkansas and Texas tech game they increased the prices by $ x2 per t-shirt and sold x3 t-shirts. how much money did they make from selling the t-shirts?
662,Ed had x1 more marbles than Doug. Ed lost x2 of his marbles at the playground. If Ed had x3 marbles how many marbles does doug have now?
663,Lawrence county has x1 kids. During summer break x2 kids stay home and the rest go to camp. how many kids go to the camp during the break?
664,The Razorback shop makes $ x1 dollars off each jersey and $ x2 off each t-shirt. During the Arkansas and Texas tech game they sold x3 t-shirts and x4 jerseys. how much more does a t-shirt cost than a jersey?
665,Dan has $ x1. He bought a candy bar for $ x2 and a chocolate for $ x3. how much money did he spend buying the candy bar and chocolate?
666,Jerry had x1 action figures and x2 books on a shelf in his room. Later he added x3 more action figures to the shelf. how many action figures were on his shelf in all?
667,Mary is baking a cake. The recipe calls for x1 cups of sugar and some more cups of flour. She already put in x2 cups of flour. If she still needs to add x3 more cups of flour how many cups of flour did the recipe require?
668,Baker made x1 cakes and x2 pastries. If he sold x3 cakes and x4 pastries how many more pastries than cakes did baker sell?
669,x1 birds and x2 storks were sitting on the fence. x3 more birds came to join them. how many birds and storks are sitting on the fence?
670,Julia played tag with x1 kids on monday and x2 kids on tuesday. She played cards wtih x3 kids on wednesday. how many kids did she play tag with altogether?
671,"Being his favorite, he saved checking on the grapevines for his last stop. He was told by x1 of the pickers that they fill x2 drums of grapes per day. how many days will it take to fill x3 drums of grapes?"
672,Bobby ate x1 pieces of candy. If he initially had x2 pieces of candy how many pieces of candy does he still have left?
673,The Ferris wheel in paradise park has x1 seats. Each seat can hold x2 people. If x3 seats are broken how many people can ride the ferris wheel at the same time?
674,Robin's hair was x1 inches long. He cut off x2 inches. Then it again grew by x3 inches. how long is his hair now?
675,Frank was reading through his favorite book. The book had x1 pages equally distributed over x2 chapters. It took Frank x3 days to finish the book. how many chapters did he read per day?
676,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped x1 inches. The grasshopper jumped x2 inches farther than the frog and the mouse jumped x3 inches lesser than the frog. how far did the frog jump?"
677,Winter is almost here and most animals are migrating to warmer countries. There are x1 bird families living near the mountain. If x2 bird families flew away to africa and x3 bird families flew away to asia how many bird families flew away for the winter?
678,Matthew had x1 crackers. He has <x3> crackers left after he gave equal numbers of crackers to his 2 friends. how many crackers did each friend eatMatthew had x1 crackers. He has <<3>> crackers left after he gave equal numbers of crackers to his 2 friends. how many crackers did each friend eatMatthew had x1 crackers. He has <<3>> crackers left after he gave equal numbers of crackers to his 2 friends. how many crackers did each friend eatMatthew had x1 crackers. He has <<3>> crackers left after he gave equal numbers of crackers to his 2 friends. how many crackers did each friend eatMatthew had x1 crackers. He has <<3>> crackers left after he gave equal numbers of crackers to his 2 friends. how many crackers did each friend eatMatthew had x1 crackers. He has <<3>> crackers left after he gave equal numbers of crackers to his 2 friends. how many crackers did each friend eatMatthew had x1 crackers. He has <<3>> crackers left after he gave equal numbers of crackers to his 2 friends. how many crackers did each friend eatMatthew had x1 crackers. He has <<3>> crackers left after he gave equal numbers of crackers to his 2 friends. how many crackers did each friend eatx2?
679,Rachel's tree had x1 apples. She picked x2 apples from her tree. Thereafter x3 new apples grew on the tree. how many apples are there on the tree now?
680,Summer is almost here and most animals are migrating back to cooler countries. There are x1 bird families living near a mountain. If x2 new bird families joined them how many bird families live near the mountain now?
681,Danny collects bottle caps and wrappers. He found x1 bottle caps and x2 wrappers at the park. Now he has x3 wrappers and x4 bottle caps in his collection. how many more wrappers than bottle caps does danny have now?
682,Melissa scored a total of x1 points in x2 games scoring the same for each game. how many points did she score in each game?
683,Robin's hair was x1 inches long. He cut off some inches of her hair. If his hair is now x2 inches long how much of his hair did he cut?
684,Baker made x1 pastries and x2 cakes. If he sold x3 cakes and x4 pastries how many pastries would baker still have?
685,The school is planning a field trip. The school has x1 classrooms. There are x2 students in each classroom in the school. If there are x3 seats on each school bus how many buses are needed to take the trip?
686,The Razorback t-shirt shop makes $ x1 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of x2 t-shirts. If they sold x3 t-shirts during the Arkansas game how much money did they make from selling the t-shirts?
